,SPP(psi),SPP(MPa),Casing(psi),CASING 2 (psi),Pump 3 Rate (gpm),Flowback Rate (gpm),Tank 1 (bbl),Tank 2 (bbl),TEMPIN(F),TEMP OUT (F),Pump 3 Rate (bpm),flow(m3/s),Time (sec),Time (hr)
21.04.19 10:20:00,0,0,1492,,0,,,,63,,0,0,10,0
21.04.19 10:20:10,0,0,1492,,0,,,,63,,0,0,20,0.01
21.04.19 10:20:20,0,0,1495,,0,,,,63,,0,0,30,0.01
21.04.19 10:20:30,0,0,1491,,0,,,,63,,0,0,40,0.01
21.04.19 10:20:40,0,0,1491,,0,,,,63,,0,0,50,0.01
21.04.19 10:20:50,0,0,1491,,0,,,,63,,0,0,60,0.02
21.04.19 10:21:00,0,0,1492,,0,,,,63,,0,0,70,0.02
21.04.19 10:21:10,0,0,1492,,0,,,,63,,0,0,80,0.02
21.04.19 10:21:20,0,0,1491,,0,,,,63,,0,0,90,0.03
21.04.19 10:21:30,0,0,1491,,0,,,,63,,0,0,100,0.03
21.04.19 10:21:40,0,0,1491,,0,,,,63,,0,0,110,0.03
21.04.19 10:21:50,0,0,1490,,0,,,,63,,0,0,120,0.03
21.04.19 10:22:00,0,0,1490,,0,,,,63,,0,0,130,0.04
21.04.19 10:22:10,0,0,1490,,0,,,,63,,0,0,140,0.04
21.04.19 10:22:20,0,0,1490,,0,,,,63,,0,0,150,0.04
21.04.19 10:22:30,0,0,1490,,0,,,,63,,0,0,160,0.04
21.04.19 10:22:40,0,0,1490,,0,,,,63,,0,0,170,0.05
21.04.19 10:22:50,0,0,1490,,0,,,,63,,0,0,180,0.05
21.04.19 10:23:00,0,0,1489,,0,,,,63,,0,0,190,0.05
21.04.19 10:23:10,0,0,1489,,0,,,,63,,0,0,200,0.06
21.04.19 10:23:20,0,0,1489,,0,,,,63,,0,0,210,0.06
21.04.19 10:23:30,0,0,1489,,0,,,,63,,0,0,220,0.06
21.04.19 10:23:40,0,0,1489,,0,,,,63,,0,0,230,0.06
21.04.19 10:23:50,0,0,1489,,0,,,,63,,0,0,240,0.07
21.04.19 10:24:00,0,0,1489,,0,,,,63,,0,0,250,0.07
21.04.19 10:24:10,0,0,1489,,0,,,,63,,0,0,260,0.07
21.04.19 10:24:20,0,0,1488,,0,,,,63,,0,0,270,0.08
21.04.19 10:24:30,0,0,1488,,0,,,,63,,0,0,280,0.08
21.04.19 10:24:40,0,0,1488,,0,,,,63,,0,0,290,0.08
21.04.19 10:24:50,0,0,1488,,0,,,,63,,0,0,300,0.08
21.04.19 10:25:00,0,0,1488,,0,,,,63,,0,0,310,0.09
21.04.19 10:25:10,0,0,1487,,0,,,,63,,0,0,320,0.09
21.04.19 10:25:20,0,0,1487,,0,,,,63,,0,0,330,0.09
21.04.19 10:25:30,0,0,1487,,0,,,,63,,0,0,340,0.09
21.04.19 10:25:40,0,0,1487,,0,,,,63,,0,0,350,0.1
21.04.19 10:25:50,0,0,1486,,0,,,,63,,0,0,360,0.1
21.04.19 10:26:00,0,0,1487,,0,,,,63,,0,0,370,0.1
21.04.19 10:26:10,0,0,1487,,0,,,,63,,0,0,380,0.11
21.04.19 10:26:20,0,0,1486,,0,,,,63,,0,0,390,0.11
21.04.19 10:26:30,0,0,1486,,0,,,,63,,0,0,400,0.11
21.04.19 10:26:40,0,0,1485,,0,,,,63,,0,0,410,0.11
21.04.19 10:26:50,0,0,1485,,0,,,,63,,0,0,420,0.12
21.04.19 10:27:00,0,0,1484,,0,,,,63,,0,0,430,0.12
21.04.19 10:27:10,0,0,1484,,0,,,,63,,0,0,440,0.12
21.04.19 10:27:20,0,0,1484,,49.68,,,,63,,1.18285596,0.00307543,450,0.13
21.04.19 10:27:30,0,0,1485,,49.68,,,,63,,1.18285596,0.00307543,460,0.13
21.04.19 10:27:40,138,0.95151,1491,,48.85,,,,63,,1.16309408,0.00302405,470,0.13
21.04.19 10:27:50,303,2.089185,1496,,47.2,,,,63,,1.1238084,0.0029219,480,0.13
21.04.19 10:28:00,439,3.026905,1501,,45.82,,,,63,,1.09095129,0.00283647,490,0.14
21.04.19 10:28:10,446,3.07517,1501,,44.71,,,,63,,1.06452275,0.00276776,500,0.14
21.04.19 10:28:20,384,2.64768,1495,,0,,,,63,,0,0,510,0.14
21.04.19 10:28:30,321,2.213295,1491,,0,,,,63,,0,0,520,0.14
21.04.19 10:28:40,277,1.909915,1487,,0,,,,63,,0,0,530,0.15
21.04.19 10:28:50,245,1.689275,1485,,0,,,,63,,0,0,540,0.15
21.04.19 10:29:00,221,1.523795,1482,,0,,,,63,,0,0,550,0.15
21.04.19 10:29:10,204,1.40658,1481,,0,,,,63,,0,0,560,0.16
21.04.19 10:29:20,190,1.31005,1479,,0,,,,63,,0,0,570,0.16
21.04.19 10:29:30,178,1.22731,1477,,0,,,,63,,0,0,580,0.16
21.04.19 10:29:40,168,1.15836,1476,,0,,,,63,,0,0,590,0.16
21.04.19 10:29:50,160,1.1032,1474,,0,,,,63,,0,0,600,0.17
21.04.19 10:30:00,152,1.04804,1473,,0,,,,63,,0,0,610,0.17
21.04.19 10:30:10,145,0.999775,1472,,0,,,,63,,0,0,620,0.17
21.04.19 10:30:20,138,0.95151,1471,,0,,,,63,,0,0,630,0.18
21.04.19 10:30:30,132,0.91014,1469,,0,,,,63,,0,0,640,0.18
21.04.19 10:30:40,127,0.875665,1468,,0,,,,63,,0,0,650,0.18
21.04.19 10:30:50,121,0.834295,1468,,0,,,,63,,0,0,660,0.18
21.04.19 10:31:00,117,0.806715,1467,,0,,,,63,,0,0,670,0.19
21.04.19 10:31:10,112,0.77224,1466,,0,,,,63,,0,0,680,0.19
21.04.19 10:31:20,108,0.74466,1465,,0,,,,63,,0,0,690,0.19
21.04.19 10:31:30,104,0.71708,1464,,0,,,,63,,0,0,700,0.19
21.04.19 10:31:40,100,0.6895,1462,,0,,,,63,,0,0,710,0.2
21.04.19 10:31:50,97,0.668815,1462,,0,,,,63,,0,0,720,0.2
21.04.19 10:32:00,214,1.47553,1465,,48.03,,,,63,,1.14357029,0.00297328,730,0.2
21.04.19 10:32:10,420,2.8959,1473,,46.92,,,,63,,1.11714174,0.00290457,740,0.21
21.04.19 10:32:20,578,3.98531,1479,,44.99,,,,63,,1.07118941,0.00278509,750,0.21
21.04.19 10:32:30,687,4.736865,1481,,43.61,,,,63,,1.0383323,0.00269966,760,0.21
21.04.19 10:32:40,690,4.75755,1480,,43.06,,,,63,,1.02523707,0.00266562,770,0.21
21.04.19 10:32:50,621,4.281795,1474,,0,,,,63,,0,0,780,0.22
21.04.19 10:33:00,531,3.661245,1468,,0,,,,63,,0,0,790,0.22
